5.35981X ;7.89849X ;0.999994x ;3.00001x ;8,29114e-11; x ;1x ;102x ;0.999999x ;3x ;4,00959e-12; x ;1x ;35x ;1.00001x ;3.00001x ;3,44625e-09; x ;1x ;249x ;249x 
6.93328X ;-1.42952X ;1.00001x ;2.99999x ;8,4041e-11; x ;1x ;130x ;1x ;3x ;3,22146e-12; x ;1x ;42x ;1.00002x ;2.99999x ;4,64619e-10; x ;1x ;251x ;251x 
8.88386X ;5.85916X ;1.00001x ;2.99999x ;8,63701e-11; x ;1x ;123x ;1x ;3x ;3,20091e-12; x ;1x ;41x ;1.00002x ;3.00001x ;2,84472e-09; x ;1x ;254x ;254x 
0.504925X ;2.77024X ;0.999993x ;3.00001x ;8,79174e-11; x ;1x ;95x ;0.999999x ;3x ;4,00781e-12; x ;1x ;33x ;0.999983x ;2.99999x ;2,94818e-09; x ;1x ;201x ;201x 
-4.23984X ;-3.10869X ;1.00001x ;2.99999x ;9,28503e-11; x ;1x ;106x ;1x ;3x ;2,25759e-12; x ;1x ;37x ;0.999987x ;2.99999x ;3,43615e-09; x ;1x ;253x ;253x 
6.02165X ;-1.62901X ;1.00001x ;2.99999x ;8,99842e-11; x ;1x ;129x ;1x ;3x ;4,60869e-12; x ;1x ;41x ;1.00001x ;2.99999x ;3,80944e-10; x ;1x ;250x ;250x 
-6.76441X ;1.10506X ;0.999993x ;3.00001x ;9,54609e-11; x ;1x ;124x ;0.999999x ;3x ;4,13733e-12; x ;1x ;41x ;0.999981x ;3x ;2,58981e-09; x ;1x ;253x ;253x 
8.18667X ;2.37866X ;1.00001x ;2.99999x ;8,97767e-11; x ;1x ;127x ;1x ;3x ;2,78524e-12; x ;1x ;42x ;1.00002x ;3x ;1,63275e-09; x ;1x ;251x ;251x 
-9.55678X ;1.63778X ;0.999994x ;3.00001x ;8,16797e-11; x ;1x ;129x ;0.999999x ;3x ;4,42761e-12; x ;1x ;42x ;0.999981x ;3x ;2,18212e-09; x ;1x ;259x ;259x 
3.97844X ;-2.62511X ;1.00001x ;2.99999x ;8,82923e-11; x ;1x ;128x ;1x ;3x ;2,71171e-12; x ;1x ;42x ;1.00001x ;2.99998x ;6,12074e-10; x ;1x ;249x ;249x 
